
2025-07-24 02:33:41,170 - Step 2340, Capital=1,000,000,000.00, Position=0.00, 1-min Volume=5,462,641.33
2025-07-24 02:34:23,245 - Step 2400, Capital=1,000,000,000.00, Position=0.00, 1-min Volume=6,804,384.88
2025-07-24 02:35:05,921 - Step 2460, Capital=1,000,000,000.00, Position=0.00, 1-min Volume=7,447,871.70
2025-07-24 02:35:48,826 - Step 2520, Capital=1,000,000,000.00, Position=0.00, 1-min Volume=7,546,141.37
2025-07-24 02:36:31,773 - Step 2580, Capital=1,000,000,000.00, Position=0.00, 1-min Volume=6,821,480.21
2025-07-24 02:37:14,887 - Step 2640, Capital=1,000,000,000.00, Position=0.00, 1-min Volume=3,010,928.96
2025-07-24 02:37:58,675 - Step 2700, Capital=1,000,000,000.00, Position=0.00, 1-min Volume=6,975,783.75
2025-07-24 02:38:40,071 - Step 2760, Capital=1,000,000,000.00, Position=0.00, 1-min Volume=6,257,748.01
2025-07-24 02:39:18,258 - Step 2820, Capital=1,000,000,000.00, Position=0.00, 1-min Volume=15,081,291.66
2025-07-24 02:39:53,468 - Step 2880, Capital=1,000,000,000.00, Position=0.00, 1-min Volume=4,293,123.83
2025-07-24 02:40:27,376 - Step 2940, Capital=1,000,000,000.00, Position=0.00, 1-min Volume=10,109,861.77
2025-07-24 02:41:00,017 - Step 3000, Capital=1,000,000,000.00, Position=0.00, 1-min Volume=6,879,123.73
2025-07-24 02:41:31,454 - Step 3060, Capital=1,000,000,000.00, Position=0.00, 1-min Volume=13,512,705.48
2025-07-24 02:42:02,930 - Step 3120, Capital=1,000,000,000.00, Position=0.00, 1-min Volume=23,314,858.93
2025-07-24 02:42:34,238 - Step 3180, Capital=1,000,000,000.00, Position=0.00, 1-min Volume=5,268,448.53
2025-07-24 02:43:06,099 - Step 3240, Capital=1,000,000,000.00, Position=0.00, 1-min Volume=7,883,716.26
2025-07-24 02:43:37,962 - Step 3300, Capital=1,000,000,000.00, Position=0.00, 1-min Volume=22,368,224.19
2025-07-24 02:44:10,765 - Step 3360, Capital=1,000,000,000.00, Position=0.00, 1-min Volume=21,136,285.32
2025-07-24 02:44:44,051 - Step 3420, Capital=1,000,000,000.00, Position=0.00, 1-min Volume=20,097,082.97
2025-07-24 02:45:17,258 - Step 3480, Capital=1,000,000,000.00, Position=0.00, 1-min Volume=24,406,879.96
2025-07-24 02:45:50,055 - Step 3540, Capital=1,000,000,000.00, Position=0.00, 1-min Volume=11,409,558.29
2025-07-24 02:46:23,243 - Step 3600, Capital=1,000,000,000.00, Position=0.00, 1-min Volume=4,195,183.04
2025-07-24 02:46:56,324 - Step 3660, Capital=1,000,000,000.00, Position=0.00, 1-min Volume=7,685,770.22
2025-07-24 02:47:30,407 - Step 3720, Capital=1,000,000,000.00, Position=0.00, 1-min Volume=17,400,070.07
2025-07-24 02:48:05,317 - Step 3780, Capital=1,000,000,000.00, Position=0.00, 1-min Volume=10,796,612.79
2025-07-24 02:48:40,790 - Step 3840, Capital=1,000,000,000.00, Position=0.00, 1-min Volume=9,663,793.53
2025-07-24 02:49:16,066 - Step 3900, Capital=1,000,000,000.00, Position=0.00, 1-min Volume=15,276,585.88
2025-07-24 02:49:51,355 - Step 3960, Capital=1,000,000,000.00, Position=0.00, 1-min Volume=4,140,006.75
2025-07-24 02:50:26,070 - Step 4020, Capital=1,000,000,000.00, Position=0.00, 1-min Volume=4,745,280.58
2025-07-24 02:51:01,435 - Step 4080, Capital=1,000,000,000.00, Position=0.00, 1-min Volume=3,349,258.79
2025-07-24 02:51:36,677 - Step 4140, Capital=1,000,000,000.00, Position=0.00, 1-min Volume=4,161,876.63
2025-07-24 02:52:12,392 - Step 4200, Capital=1,000,000,000.00, Position=0.00, 1-min Volume=6,572,695.13
